update_date,code_name,code
20260410,长城汽车,sh.601633
20260410,邮储银行,sh.601658
20260410,中国建筑,sh.601668
20260410,中国电建,sh.601669
20260410,华泰证券,sh.601688
20260410,拓普集团,sh.601689
20260410,中国卫通,sh.601698
20260410,中国电信,sh.601728
20260410,中国中车,sh.601766
20260410,光大证券,sh.601788
20260410,中国交建,sh.601800
20260410,中海油服,sh.601808
20260410,京沪高铁,sh.601816
20260410,光大银行,sh.601818
20260410,沪农商行,sh.601825
20260410,成都银行,sh.601838
20260410,中国石油,sh.601857
20260410,中国能建,sh.601868
20260410,招商轮船,sh.601872
20260410,正泰电器,sh.601877
20260410,浙商证券,sh.601878
20260410,中国银河,sh.601881
20260410,中国中免,sh.601888
20260410,中煤能源,sh.601898
20260410,紫金矿业,sh.601899
20260410,方正证券,sh.601901
20260410,浙商银行,sh.601916
20260410,中远海控,sh.601919
20260410,建设银行,sh.601939
20260410,中国核电,sh.601985
20260410,中国银行,sh.601988
20260410,中金公司,sh.601995
20260410,中信银行,sh.601998
20260410,中科曙光,sh.603019
20260410,公牛集团,sh.603195
20260410,药明康德,sh.603259
20260410,合盛硅业,sh.603260
20260410,海天味业,sh.603288
20260410,华勤技术,sh.603296
20260410,今世缘,sh.603369
20260410,万泰生物,sh.603392
20260410,豪威集团,sh.603501
20260410,华友钴业,sh.603799
20260410,瑞芯微,sh.603893
20260410,兆易创新,sh.603986
20260410,洛阳钼业,sh.603993
20260410,德业股份,sh.605117
20260410,东鹏饮料,sh.605499
20260410,澜起科技,sh.688008
20260410,中国通号,sh.688009
20260410,中微公司,sh.688012
20260410,传音控股,sh.688036
20260410,海光信息,sh.688041
20260410,龙芯中科,sh.688047
20260410,盛美上海,sh.688082
20260410,金山办公,sh.688111
20260410,沪硅产业,sh.688126
20260410,石头科技,sh.688169
20260410,时代电气,sh.688187
20260410,晶科能源,sh.688223
20260410,寒武纪,sh.688256
20260410,联影医疗,sh.688271
20260410,大全能源,sh.688303
20260410,华润微,sh.688396
20260410,阿特斯,sh.688472
20260410,百利天恒,sh.688506
20260410,中芯国际,sh.688981
